,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
367106,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:21
367107,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:21
367108,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:21
367109,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:21
367114,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:24
367115,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:24
367116,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:24
367117,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:24
367118,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:24
367119,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:24
367124,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:26
367125,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:26
367126,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:26
367127,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:27
367128,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:27
367129,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:27
367134,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:29
367135,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:29
367136,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:29
367137,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:29
367138,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:29
367139,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:29
367144,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:32
367145,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:32
367146,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:32
367147,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:32
367148,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:32
367149,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:32
367154,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:01:34
367155,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:01:34
367156,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:01:35
367157,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:01:35
367158,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:01:35
367159,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:01:35
